,source,target,value
1,Germany,Russia,26
6,Germany,Italy,25
9,France,Germany,24
10,Germany,Poland,23
30,Germany,Japan,23
2,Austria,Germany,17
28,Egypt,Libya,16
8,France,Poland,14
31,Japan,Russia,13
41,India,Pakistan,13
0,France,Russia,12
12,Estonia,Latvia,12
43,Israel,South Africa,12
37,Japan,Philippines,12
39,India,Japan,12
20,Denmark,Norway,12
24,Albania,Greece,12
14,Finland,Lithuania,12
15,Finland,Germany,11
38,Japan,Solomon Islands,9
66,Australia,Canada,6
71,Germany,Norway,6
5,Bulgaria,Russia,6
4,Bulgaria,Hungary,6
3,Austria,Hungary,6
17,Luxembourg,Netherlands,6
16,Netherlands,Poland,6
13,Latvia,Lithuania,6
32,Algeria,Morocco,6
35,Singapore,Thailand,6
33,Algeria,Italy,6
34,Japan,Thailand,6
42,Israel,Pakistan,6
22,Germany,Sweden,6
21,Denmark,Sweden,6
26,Belarus,Ukraine,6
40,France,India,6
54,Ghana,Seychelles,6
55,Estonia,Lithuania,6
56,Finland,Romania,6
59,Bulgaria,Poland,6
58,Albania,Bulgaria,6
51,Cambodia,Laos,6
45,Iran,Libya,6
61,Hungary,Romania,6
63,Cuba,Mongolia,6
74,Romania,Russia,6
73,Italy,Japan,6
60,Poland,Romania,6
53,Ghana,Kenya,6
69,Cuba,Vietnam,5
11,Estonia,Germany,5
75,India,Singapore,5
65,Canada,United States,5
64,Cuba,United States,5
57,Albania,Romania,5
36,Japan,Singapore,5
29,Egypt,Iraq,5
19,Belgium,Denmark,5
44,Israel,Libya,5
50,Laos,Philippines,5
52,Cambodia,Kenya,5
49,Pakistan,Philippines,5
62,Hungary,Mongolia,5
47,France,Japan,4
67,Australia,Vietnam,4
18,Belgium,Luxembourg,4
23,France,Italy,4
68,Cambodia,Vietnam,4
72,Greece,Italy,3
48,India,Papua New Guinea,3
7,Germany,Spain,2
25,Greece,Ukraine,2
27,Belarus,Libya,2
46,Germany,Iran,2
70,Russia,United States,2
